00AA,LEOTI. KS
0IA8,CENTER POINT. IA
0ID,THATCHER. ID
0ID0,FEATHERVILLE. ID
0ID1,FILER. ID
0ID2,MAY. ID
0ID3,MOUNTAIN HOME. ID
0ID4,SHOSHONE. ID
0ID7,MURPHY. ID
0ID8,GRANGEVILLE. ID
0ID9,HELMER. ID
0II0,ALBANY. IN
0II7,GREENFIELD. IN
0II8,LOWELL. IN
0II9,HALL. IN
0IL2,ALMA. IL
0IL7,HAMMOND. IL
0IL9,DE KALB. IL
0IN1,DECKER. IN
0IN4,WOODBURN. IN
0IN5,BYRNEVILLE. IN
0IN9,MOUNT VERNON. IN
0IS3,DEER GROVE. IL
0J0,ABBEVILLE. AL
0J4,FLORALA. AL
0J8,ARCHER. FL
0K6,INOLA. OK
0K7,HUMBOLDT. IA
0KS0,OSAGE CITY. KS
0KS2,UDALL. KS
0KS4,LAWRENCE. KS
0KS5,GREAT BEND. KS
0KS6,HAYS. KS
0KS7,CHENEY. KS
0KS8,PARSONS. KS
0KS9,DOUGLAS. KS
0KY0,OWENTON. KY
0KY1,FRANKLIN. KY
0KY5,BOWLING GREEN. KY
0KY7,CLINTON. KY
0L4,GOLDFIELD. NV
0L7,JEAN. NV
0L9,OVERTON. NV
0LA1,GONZALES. LA
0LA3,BELCHER. LA
0LA9,WALKER. LA
0LL0,BELVIDERE. IL
0LL1,JERSEYVILLE. IL
0LL3,JERSEYVILLE. IL
0LL4,LA SALLE. IL
0LL5,ST JOSEPH. IL
0LL6,SANDWICH. IL
0LS0,THIBODAUX. LA
0LS5,CANKTON. LA
0LS7,NEW ROADS. LA
0M0,DUMAS. AR
0M2,TIPTONVILLE. TN
0M3,HOHENWALD. TN
0M4,CAMDEN. TN
0M5,WAVERLY. TN
0M8,LAKE PROVIDENCE. LA
0M9,DELHI. LA
0MD1,SUDLERSVILLE. MD
0MD2,COBB ISLAND. MD
0MD6,MOUNT AIRY. MD
0ME4,OTIS. ME
0MI4,GWINN. MI
0MI6,HULBERT. MI
0MO0,CLINTON. MO
0MO1,CREIGHTON. MO
0MO3,FREEMAN. MO
0MO5,EDINA. MO
0MO6,HURDLAND. MO
0MO8,ELSBERRY. MO
0MS0,MERIDIAN. MS
0MS2,SEMINARY. MS
0MS7,PASS CHRISTIAN. MS
0MS8,BENOIT. MS
0MS9,HOUSTON. MS
0MT1,AUGUSTA. MT
0MT4,HAMILTON. MT
0MT5,LAUREL. MT
0MT6,MARION. MT
0MT7,THOMPSON FALLS. MT
0MT9,WHITEFISH. MT
0MU4,MARCELINE. MO
0MU7,LONE JACK. MO
0MU9,FAIR GROVE. MO
0N0,LIBERTY. MO
0N4,DOVER. DE
0NA1,BARNEY. ND
0NA9,GOLVA. ND
0NC1,ELON. NC
0NC7,MADISON. NC
0NC8,CLEVELAND. NC
0ND0,FLORA. ND
0ND6,HAGUE. ND
0NE0,ASHBY. NE
0NE1,ASHBY. NE
0NE9,UTICA. NE
0NJ6,LINWOOD. NJ
0NK0,CATTARAUGUS. NY
0NK2,CHARLTON. NY
0NK3,GROVELAND. NY
0NM0,COLUMBUS. NM
0NM7,RESERVE. NM
0NY0,NORTH CREEK. NY
0NY1,NORTHUMBERLAND. NY
0NY3,OHIO. NY
0NY7,PERTH. NY
0NY8,PERTH. NY
0O2,BAKER. CA
0O4,CORNING. CA
0O9,GASQUET. CA
0OH5,BUTLER. OH
0OH6,SPRING VALLEY. OH
0OH8,PIQUA. OH
0OI6,KINGSVILLE. OH
0OI9,LUCASVILLE. OH
0OK1,ELMORE CITY. OK
0OK2,BARTLESVILLE. OK
0OK3,GEARY. OK
0OK4,COAL GATE. OK
0OK5,GUTHRIE. OK
0OK6,GUTHRIE. OK
0OK8,MARLOW. OK
0OK9,JENNINGS. OK
0OR3,MERRILL. OR
0OR5,EAGLE POINT. OR
0OR6,ROME. OR
0OR7,MONMOUTH. OR
0OR8,WHITE CITY. OR
0OR9,MOUNT HOOD. OR
0P1,PRAIRIE VIEW. KS
0P2,STEWARTSTOWN. PA
0P8,DOVER. PA
0PA2,SHERMANS DALE. PA
0PA3,TROY. PA
0PA5,FRANKLIN. PA
0PA6,HUNTINGDON. PA
0PN0,SHEAKEYVILLE. PA
0PN4,NEW BLOOMFIELD. PA
0PN5,SPARTANSBURG. PA
0PN6,THREE SPRINGS. PA
0PN7,NEWBURG. PA
0PN8,TITUSVILLE. PA
0PS0,TYLERSBURG. PA
0PS3,CARSONVILLE. PA
0PS4,CURWENSVILLE. PA
0PS7,ELIZABETHVILLE. PA
0Q3,SCHELLVILLE/SONOMA. CA
0Q4,SELMA. CA
0Q5,SHELTER COVE. CA
0Q9,SONOMA. CA
0R0,COLUMBIA. MS
0R1,ATMORE. AL
0R2,LINCOLN. MO
0R4,VIDALIA. LA
0R5,WINNFIELD. LA
0R6,HAMPTON. AR
0R7,COUSHATTA. LA
0S0,LIND. WA
0S1,MEADOW CREEK. MT
0S5,NEZPERCE. ID
0S7,OROVILLE. WA
0S9,PORT TOWNSEND. WA
0SD0,GLENCROSS. SD
0SD1,WAKONDA. SD
0SD3,HOOVER. SD
0SD7,WANBLEE. SD
0TA2,HALFWAY. TX
0TA4,KAUFMAN. TX
0TA8,MASON. TX
0TE0,COMSTOCK. TX
0TE4,HILLTOP LAKES. TX
0TE5,LAREDO. TX
0TE6,GORMAN. TX
0TE7,JOHNSON CITY. TX
0TN0,SPRING HILL. TN
0TN2,GREENBACK. TN
0TN5,MURFREESBORO. TN
0TN6,NORRIS. TN
0TS0,HYE. TX
0TS1,JUSTIN. TX
0TS4,LEDBETTER. TX
0TS5,CLEVELAND. TX
0TS7,MINERAL WELLS. TX
0TS9,MCLEAN. TX
0TX0,GRANBURY. TX
0TX1,GRANBURY. TX
0TX4,WELLINGTON. TX
0TX5,FLOWER MOUND. TX
0TX6,SEGUIN. TX
0TX7,FARMERSVILLE. TX
0TX9,GREENVILLE. TX
0U0,LANDMARK. ID
0U1,LOWMAN. ID
0U2,MACKAY. ID
0U3,MAHONEY CREEK. ID
0U7,CAREY. ID
0U8,MAY. ID
0U9,MIDVALE. ID
0V3,MINDEN. NE
0V4,BROOKNEAL. VA
0V7,KAYENTA. AZ
0VA0,WARRENTON. VA
0VA1,BEDFORD. VA
0VA2,IRON GATE. VA
0VA3,MANQUIN. VA
0VA4,ROCKY MOUNT. VA
0VA9,GLOUCESTER COURT HOUSE. VA
0VG,JONESVILLE. VA
0VI1,MANQUIN. VA
0W3,CHURCHVILLE. MD
0WA1,CHEHALIS. WA
0WA2,CURTIS. WA
0WI1,COMSTOCK. WI
0WI2,MONCHES. WI
0WI4,MONTELLO. WI
0WI7,NEENAH. WI
0WI8,OCONOMOWOC. WI
0WI9,OREGON. WI
0WN0,SEQUIM. WA
0WN1,SELAH. WA
0WN2,KENNEWICK. WA
0WN9,OMAK. WA
0WS7,ROCKDALE. WI
0WY0,FREEDOM. WY
0WY1,BASIN. WY
0XA0,PARADISE. TX
0XA4,FREER. TX
0XA5,CAMPBELLTON. TX
0XA7,GEORGETOWN. TX
0XS0,CATARINA. TX
0XS1,EL CAMPO. TX
0XS2,SONORA. TX
0XS6,SPICEWOOD. TX
0XS7,SPOFFORD. TX
0XS8,SPOFFORD. TX
0XS9,BULLARD. TX
0Y6,LAKE MILLS. IA
10AK,WASILLA. AK
10AR,WHITE HALL. AR
10AZ,BUCKEYE. AZ
10C,GREENWOOD/WONDER LAKE. IL
10CO,MACK. CO
10D,WINSTED. MN
10FA,LEESBURG. FL
10FD,DUNNELLON. FL
10G,MILLERSBURG. OH
10GA,GRIFFIN. GA
10IA,WATERLOO. IA
10ID,MULDOON. ID
10IN,JASONVILLE. IN
10LA,SCOTT. LA
10LS,BASILE. LA
10MO,WILLIAMSBURG. MO
10MT,HAXBY. MT
10NC,JACKSON. NC
10ND,HALLIDAY. ND
10OH,HURON. OH
10OK,NORMAN. OK
10TE,HARWOOD. TX
10TN,LEBANON. TN
10TS,LANEVILLE. TX
10TT,GRAHAM. TX
10U,OWYHEE. NV
10VA,APPOMATTOX. VA
10WA,GLENWOOD. WA
10WI,POUND. WI
10WY,KAYCEE. WY
10X,UVALDE. TX
10XA,PORT LAVACA. TX
10XS,BROWNWOOD. TX
11A,CLAYTON. AL
11AK,DELTA JUNCTION. AK
11AZ,HUACHUCA CITY. AZ
11CL,ADELANTO. CA
11FA,HOMESTEAD. FL
11FL,MIDDLEBURG. FL
11IA,HUDSON. IA
11IN,DANVILLE. IN
11K,ERIE. KS
11KS,WINFIELD. KS
11LL,CHENOA. IL
11LS,GLENMORA. LA
11MA,WAREHAM. MA
11MD,SALISBURY. MD
11MO,WILLIAMSBURG. MO
11MT,SHAWMUT. MT
11N,NEW MILFORD. CT
11NK,FORT PLAIN. NY
11NY,MILLBROOK. NY
11OA,BREMEN. OH
11PN,CRANBERRY. PA
11R,BRENHAM. TX
11S,SEKIU. WA
11TE,GRANDVIEW. TX
11TN,MCMINNVILLE. TN
11TS,MEXIA. TX
11TX,SHERMAN. TX
11UT,HUNTSVILLE. UT
11V,GREELEY. CO
11VG,OAK GROVE. VA
11WA,CHENEY. WA
11WY,HULETT. WY
11XA,PALESTINE. TX
11Y,CHILTON. WI
12A,GREENBRIER. AR
12AR,MARVELL. AR
12AZ,MORRISTOWN. AZ
12CL,STRATFORD. CA
12CN,MAXWELL. CA
12CO,HOTCHKISS. CO
12D,TOWER. MN
12G,SHELBY. OH
12IA,LEMARS. IA
12ID,SALMON. ID
12IL,KANKAKEE. IL
12IN,DARMSTADT. IN
12J,BREWTON. AL
12K,SUPERIOR. NE
12KS,SEDGWICK. KS
12KY,NEW CASTLE. KY
12LA,SULPHUR. LA
12LS,RAYNE. LA
12ME,SEARSMONT. ME
12MI,DAVISON. MI
12MO,WINDSOR. MO
12MT,HINGHAM. MT
12N,ANDOVER. NJ
12NC,ATLANTIC. NC
12ND,BURLINGTON. ND
12NE,SCOTTSBLUFF. NE
12NH,SANBORNTON. NH
12NK,WESTPORT. NY
12NY,RICHARD SPRINGS. NY
12OH,BROOKVILLE. OH
12OK,KINGSTON. OK
12OR,JORDAN VALLEY. OR
12S,MONUMENT. OR
12SC,ELGIN. SC
12TN,KINGSTON. TN
12TS,MINERAL WELLS. TX
12TT,GAINESVILLE. TX
12TX,BERTRAM. TX
12UT,MOAB. UT
12V,MILTON. WV
12VA,CLIFTON FORGE. VA
12WA,SPOKANE. WA
12WV,HAMLIN. WV
12WY,BURLINGTON. WY
12XA,GARDENDALE. TX
12XS,BUTLERVILLE. AR
12Y,LE SUEUR. MN
13AK,HOUSTON. AK
13C,LAKEVIEW. MI
13CL,DIXON. CA
13FA,HASTINGS. FL
13GA,SYLVESTER. GA
13GE,OAK PARK. GA
13ID,STANLEY. ID
13IN,DECATUR. IN
13K,EUREKA. KS
13KS,ANDOVER. KS
13KY,OWENSBORO. KY
13ME,ROCKWOOD. ME
13MO,LENOX. MO
13MS,CARRIERE. MS
13MT,KREMLIN. MT
13NC,POLLOCKSVILLE. NC
13NE,CULBERTSON. NE
13NM,SILVER CITY. NM
13NR,WALNUT COVE. NC
13OR,OAKRIDGE. OR
13PA,TIDIOUTE. PA
13Q,APACHE CREEK. NM
13TE,BRYAN. TX
13TS,OILTON. TX
13TX,CLEBURNE. TX
13W,STANWOOD. WA
13WA,ORONDO. WA
13WI,MARKESAN. WI
13XA,IREDELL. TX
13Y,LITTLEFORK. MN
14A,MOORESVILLE. NC
14AK,PALMER. AK
14AZ,GREEN VALLEY. AZ
14G,FREMONT. OH
14IA,ARMSTRONG. IA
14ID,BOISE. ID
14J,ELBA. AL
14KS,PARKER. KS
14KY,PARIS. KY
14LA,INDEPENDENCE. LA
14M,HOLLANDALE. MS
14MO,FLEMINGTON. MO
14MS,HICKORY. MS
14MT,GILDFORD. MT
14N,LEHIGHTON. PA
14NC,HOLLY RIDGE. NC
14ND,REEDER. ND
14NK,KINGSBURY. NY
14OH,KENTON. OH
14S,WESTPORT. WA
14TE,HEXT. TX
14TS,REALITOS. TX
14TT,CANADIAN. TX
14TX,DRIPPING SPRINGS. TX
14VA,HILLSBORO. VA
14VG,FARMVILLE. VA
14WA,OLYMPIA. WA
14WS,STONE LAKE. WI
14XA,SHERMAN. TX
14XS,DAVILLA. TX
14Y,LONG PRAIRIE. MN
15A,CREOLA. AL
15AK,CANTWELL. AK
15AR,BRICKEYS. AR
15CL,MERCED. CA
15F,HASKELL. TX
15FL,LAKE CITY. FL
15G,WADSWORTH. OH
15GA,KITE. GA
15IA,BELLVUE. IA
15ID,COEUR D`ALENE. ID
15IL,FRANKLIN GROVE. IL
15IN,NEW HARMONY. IN
15J,ADEL. GA
15KS,EMPORIA. KS
15LL,TISKILWA. IL
15M,IUKA. MS
15MA,GOSNOLD. MA
15ME,NORTH YARMOUTH. ME
15MN,WATKINS. MN
15MO,HOLTS SUMMIT. MO
15MT,LUSTRE. MT
15N,WYOMING. DE
15NC,AHOSKIE. NC
15NE,UPLAND. NE
15OK,RANDLETT. OK
15TA,BRIGGS. TX
15TX,SADLER. TX
15UT,MORGAN. UT
15VA,WARRENTON. VA
15WA,STANWOOD. WA
15WI,OREGON. WI
15XA,JOHNSON CITY. TX
15XS,LIVERPOOL. TX
15Z,MCCARTHY. AK
16A,NUNAPITCHUK. AK
16AK,WASILLA. AK
16AR,SPRINGFIELD. AR
16AZ,SKULL VALLEY. AZ
16CO,PARACHUTE. CO
16D,PERHAM. MN
16FA,OCHOPEE. FL
16FD,CRESCENT CITY. FL
16FL,MILTON. FL
16G,TIFFIN. OH
16IA,COON RAPIDS. IA
16IL,KIRKLAND. IL
16IS,GOREVILLE. IL
16J,DAWSON. GA
16KS,INDEPENDENCE. KS
